Product Id,Product Handle,Product Title,Product Status,Product Thumbnail,Product Sales Channel 1,Variant Id
prod_01KK9VQP033Q9BMHV8DKK8MW5Z,australian-medicines-handbook-2020-amh-sa-stock,Australian Medicines Handbook 2020 (AMH) - SA Stock,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJWX4Y6N0SDG71A3SV0
prod_01KK9VQP03957A2YB14MHD87KF,ausdi-3-users,AusDI (3 users),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/AusDI logo-01KKSPHBBCYYTFAZHAXDQTJG32.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJW6SBW2XDWN0SB4AV0
prod_01KK9VQP039VFS9B734THYB24M,ausdi-1-user,AusDI (1 user),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/AusDI logo-01KKSPFM50YC05FXG57DHWZFFB.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJWJ95C6R5GB7TYW4CW
prod_01KK9VQP03DY65JDQN0XZK9APN,amh-aged-care-companion-2024,AMH Aged Care Companion 2024,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/AMH Aged Care Companion-01KKSNVCAZKK1TQH1DT2PYDGK4.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJTV35QDA8CSPV74SZX
prod_01KK9VQP03F318YC2PD62APTPC,amh-children-s-dosing-companion-2025-26,AMH Children's Dosing Companion 2025/26,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/AMH Child Dosing Companion-01KKSP1DZVZK4RZVFASZZM7DCP.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJVCD3YBS94RCZ00T53
prod_01KK9VQP03RNFB5R7PT7XYAP5N,amh-children-s-dosing-companion-2023-24,AMH Children's Dosing Companion 2023/24,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/AMH Child Dosing Companion-01KKSP2X6ZNB1P5TXJ42TTPT01.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJTWAYHVV66VW1AGAF9
prod_01KK9VQP03SH0YC035BYTSEVZE,amh-australian-medicines-handbook-2023,AMH: Australian Medicines Handbook 2023,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJV9QGMMG1Z9ZTAZKRY
prod_01KK9VQP03SJ27RTVH74WWXT2P,apf-digital-site-licence,APF Digital Site Licence,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/amh-package-book-app-2024-01KKSS3T117V6MY3ANC3B4ZXY1.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJVRV13N907FKWSCHM8
prod_01KK9VQP03T7JXSG0J4R6NRHT9,apf-digital-single-user-licence-12-month-subscription,APF Digital Single User Licence (12-month subscription),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJV0T0A9TXEEY9T7KWM
prod_01KK9VQP03TWC9EGYA395TJ1MB,apf-institutional-licencing,APF Institutional Licencing,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/amh-package-book-app-2024-01KKSS4RHTENAJJW5TQMWH7B8C.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJV1MHA74C8JWZSY6EN
prod_01KK9VQP042GYXPEE2RMABAGW2,emims-classic-3-users,eMIMS Classic (3 users),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJYFV7PTD2KQEF9JFKW
prod_01KK9VQP0432PZ14M7DWSHPP5F,emims-classic-additional-user,eMIMS Classic (additional user),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJY559DKZQQ5XVAJ2PB
prod_01KK9VQP049VDXXFM66HDCPZDM,don-t-rush-to-crush-for-ausdi-add-on,Don't Rush to Crush for AusDI (add-on),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/Don't rush to crush 4-01KKSPE83SX271391Y5P8E3KYM.jpg,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXB00A14C6KNDAPDQ6
prod_01KK9VQP04CN5JN8PZRA0FA4VN,australian-pharmaceutical-formulary-handbook-ed-26,Australian Pharmaceutical Formulary Handbook ed 26,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/APF26 cover mockup-01KKSP76M5Z5XYJ1634J0RFC13.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJX5357KRERGSMT6M15
prod_01KK9VQP04E6P4KTN1QHMVF10J,emimsplus-3-users,eMIMSplus 3 users,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZCY32F0D7Q9T43Y31
prod_01KK9VQP04FM6WS1CV8HNPTCKP,australian-pharmaceutical-formulary-digital-institutional-licenses,Australian Pharmaceutical Formulary Digital (institutional licenses),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJWH6STNG0F5SE659CQ
prod_01KK9VQP04GSVTGD0Y306B3G24,emimsplus-1-user,eMIMSplus 1 user,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Logo-01KKSRSKV9HZYGS52V5F27QAKM.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZ1TH53MF0E2FJWPVR
prod_01KK9VQP04J26THN1HET5YRZJV,emimsplus-2-users,eMIMSplus 2 users,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZMV1H7VXT7XCDCTVH
prod_01KK9VQP04MXT8ZDED20TP38YB,australian-pharmaceutical-formulary-digital-1-user,Australian Pharmaceutical Formulary Digital (1 user),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJWY1V7QHHY8KF887GC
prod_01KK9VQP04NA3RQFZMEDTNXPZN,deadly-pharmacist-tie,Deadly Pharmacist Tie,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXXG15GRYB3ACN9XH6
prod_01KK9VQP04NEA1YTRMHE166FQR,drug-of-addiction-register,Drug of Addiction Register,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/Drug of Addiction register-01KKSPMWHWQERBKS3F7YFSWBRZ.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJX86JR4ST04NVBZ274
prod_01KK9VQP04SH839Z66D9EKX9MK,don-t-rush-to-crush-for-emimsplus,Don't Rush to Crush for eMIMSplus,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXN2Y1HCPME0QBDEM1
prod_01KK9VQP04SZ8X0YS9EBQ8ES6V,australian-pharmacist-12-month-subscription,Australian Pharmacist (12 month subscription),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXHX8VNPJ0B4ZHE1N8
prod_01KK9VQP04T0889D376Q4GVA2N,australian-pharmaceutical-formulary-digital-multiple-site-licenses,Australian Pharmaceutical Formulary Digital (multiple site licenses),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJWFDWBWNP5C5MX8E0Y
prod_01KK9VQP04TD82AG0YTGTW5XAB,australian-pharmacist-international-12-month-subscription,Australian Pharmacist - international (12 Month Subscription),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXAA79GNAB0DYFZQCP
prod_01KK9VQP04V26DDRMGY8CRKVFJ,emims-classic-and-imgateway-package-3-users,eMIMS Classic and IMgateway package (3 users),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Modules-IM-Gateway-Herbal-01KKSPTG34KWDMRCSSDCMQJZGN.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJYXPTV6YXHCE33FJZQ
prod_01KK9VQP04W5NA2FDEEHHPHM9S,electronic-self-care-fact-cards-12-months-subscription,Electronic Self Care Fact Cards (12 months subscription),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/SelfCare logo-01KKSRYKAYF5MEVMBBVT2QH787.jpg,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJXCS4BTC9FVXQWR704
prod_01KK9VQP04ZZ2J8HTMM1BZ5HWX,australian-pharmaceutical-formulary-handbook-ed-25,Australian Pharmaceutical Formulary Handbook ed 25,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJW22CBBXAGVJXSQVNY
prod_01KK9VQP050VS46VQTXZRQWB4B,mims-ivs-cloud-1-user-veterinary,MIMS IVS Cloud 1 user (Veterinary),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/IVS_Logo_lighter_V2_1665x-01KKSS1RGPQTW1JTSKB1A1R8JC.webp,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK0XCGSDZWMAW52SQ25
prod_01KK9VQP052JYQS1SV3RH4DN8T,update-payment-details,Update Payment Details,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK1VH9VQHFRFATWZKEN
prod_01KK9VQP053ZXRK14JCG4JBC0C,printed-fact-cards,Printed Fact Cards,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK1HRTBDBF3GVWYC9X7
prod_01KK9VQP0559SQ0HD5549TJFJ2,emimsplus-and-imgateway-additional-user,eMIMSplus and IMgateway additional user,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Modules-IM-Gateway-Herbal-01KKSQ0JD7GACCWAMWJJMCPKVC.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK0E0AVSC1JADH4WYN3
prod_01KK9VQP055TE626FVPJK914TB,herbs-and-natural-supplements,Herbs and Natural Supplements,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/Herbs & Natural supplements-01KKSPKHJVCA8C3D74XW4MF0P5.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK0QRXMB2TYATDMAZEQ
prod_01KK9VQP057CYFR6V8FW0JWNGM,self-care-pharmacy-assistant-training-modules-12-months-subscription,Self Care Pharmacy Assistant Training Modules (12 months subscription),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/SelfCare logo-01KKSRZCDN5Y93HF0XHYREHKHG.jpg,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK19Z74161XTZ0MRS55
prod_01KK9VQP057R17M8XXN2GQVRAE,name-slide-gold,Name slide (Gold),published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK0W0PBKZS8ZEWMSAJ0
prod_01KK9VQP0582BGWT95426PPS2J,emimsplus-and-imgateway-3-users,eMIMSplus and IMgateway 3 users,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Modules-IM-Gateway-Herbal-01KKSQ1J8AWTD3WV8Z3WGWEAR1.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK01GS39NS3VVQH23W1
prod_01KK9VQP0588MKD14WHS1AF079,emimsplus-additional-user,eMIMSplus additional user,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZB316M9X29FV651JQ
prod_01KK9VQP05AH03BZ9155C574RQ,emimsplus-and-imgateway-2-users,eMIMSplus and IMgateway 2 users,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Modules-IM-Gateway-Herbal-01KKSQ2M49S57Z1DNE2K7RKCB1.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZTRCT49EQV48AACHN
prod_01KK9VQP05BHY08HV6JJXWEFKN,postage,Postage,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK189RTT9V1T0VT8BGG
prod_01KK9VQP05FXMDAMB6DMT21MG7,emimsplus-and-imgateway-1-user,eMIMSplus and IMgateway 1 user,published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/eMIMSplus-Modules-IM-Gateway-Herbal-01KKSQ3PVNGMEK70AP530GVG45.png,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBJZPAMJTWRYWFHJB2V4
prod_01KK9VQP05GD37B92449Z3E1P6,the-merck-manual-of-diagnosis-and-therapy-20th-edition-act-stock,"The Merck Manual of Diagnosis and Therapy, 20th Edition (ACT Stock)",published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/Merek Manual-01KKSRWQBFGWSB306HT67ZEJ2X.jpg,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK1HEKDC85DPSGZSH1K
prod_01KK9VQP05NBF71S0FV4XXTKWE,queensland-pharmacists-of-world-war-i-qld-stock,Queensland Pharmacists of World War I - QLD Stock,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK1Q8PY6XTC4G4V0PY7
prod_01KK9VQP05Q2QWX96E55PNQCFR,nsw-atu23,NSW ATU23,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK0EZVX7X2V14WWM56Y
prod_01KK9VQP05T7GHFS2BMXVGHWXF,gift-voucher,Gift Voucher,published,,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK024RXPXDDTYPC03QN
prod_01KK9VQP05V9XMTRGF1NRAN4PD,mims-ivs-annual-2025-veterinary,MIMS IVS Annual 2025 (Veterinary),published,https://s3.ap-southeast-1.amazonaws.com/medusajs.cloud-data-prod-apse1-20250429145133055200000002/ef1d9967c1978474f2f/IVS_2024_Case_Cover_400x-01KKSRQR93KCJ1YYR94RF43CP6.webp,sc_01KBQTJKRBCS711PM31MJERK8W,variant_01KK9VRBK042KYFM68VR7963MH
